TagID_Hex,DetectDateTime,RecSN,FracSec,nPRI,SigStr,Thresh
2D9F,2020-04-04 03:12:09,17130,,5,,
2D9F,2020-04-04 03:12:29,17130,,5,,
2D9F,2020-04-04 03:12:34,17130,,5,,
2D9F,2020-04-04 03:12:39,17130,,5,,
2D9F,2020-04-04 03:12:44,17130,,5,,
2D9F,2020-04-04 03:12:49,17130,,5,,
2D9F,2020-04-04 03:13:09,17130,,5,,
2D9F,2020-04-04 03:13:30,17130,,5,,
2D9F,2020-04-04 03:13:40,17130,,5,,
2D9F,2020-04-04 03:14:05,17130,,5,,
2D9F,2020-04-04 08:46:01,17130,,5,,
2D9F,2020-04-04 08:46:16,17130,,5,,
2D9F,2020-04-04 08:46:36,17130,,5,,
2D9F,2020-04-04 08:46:41,17130,,5,,
2D9F,2020-04-04 08:47:07,17130,,5,,
2D9F,2020-04-04 08:47:12,17130,,5,,
2D9F,2020-04-04 08:47:37,17130,,5,,
2D9F,2020-04-04 08:47:42,17130,,5,,
2D9F,2020-04-04 08:47:52,17130,,5,,
2D9F,2020-04-04 08:48:02,17130,,5,,
2D9F,2020-04-04 08:48:32,17130,,5,,
2D9F,2020-04-04 08:49:02,17130,,5,,
2D9F,2020-04-04 08:49:07,17130,,5,,
2D9F,2020-04-04 08:49:17,17130,,5,,
2D9F,2020-04-04 08:49:58,17130,,5,,
2D9F,2020-04-04 08:50:43,17130,,5,,
2D9F,2020-04-04 08:50:48,17130,,5,,
2D9F,2020-04-04 08:50:53,17130,,5,,
2D9F,2020-04-04 08:50:58,17130,,5,,
2D9F,2020-04-04 08:51:03,17130,,5,,
2D9F,2020-04-04 08:51:23,17130,,5,,
2D9F,2020-04-04 08:51:29,17130,,5,,
2D9F,2020-04-04 08:51:34,17130,,5,,
2D9F,2020-04-04 08:51:39,17130,,5,,
2D9F,2020-04-04 08:51:44,17130,,5,,
2D9F,2020-04-04 08:51:49,17130,,5,,
2D9F,2020-04-04 08:51:54,17130,,5,,
2D9F,2020-04-04 08:52:04,17130,,5,,
2D9F,2020-04-04 08:52:29,17130,,5,,
2D9F,2020-04-04 08:52:34,17130,,5,,
2D9F,2020-04-04 08:52:39,17130,,5,,
2D9F,2020-04-04 08:52:44,17130,,5,,
2D9F,2020-04-04 08:52:49,17130,,5,,
2D9F,2020-04-04 08:52:54,17130,,5,,
2D9F,2020-04-04 08:52:59,17130,,5,,
2D9F,2020-04-04 08:53:04,17130,,5,,
2D9F,2020-04-04 08:53:09,17130,,5,,
2D9F,2020-04-04 08:53:14,17130,,5,,
2D9F,2020-04-04 08:53:19,17130,,5,,
2D9F,2020-04-04 08:53:24,17130,,5,,
2D9F,2020-04-04 08:53:29,17130,,5,,
2D9F,2020-04-04 08:53:35,17130,,5,,
2D9F,2020-04-04 08:53:40,17130,,5,,
2D9F,2020-04-04 08:53:45,17130,,5,,
2D9F,2020-04-04 08:54:00,17130,,5,,
2D9F,2020-04-04 17:21:04,17133,,5,,
2D9F,2020-04-04 17:21:19,17133,,5,,
2D9F,2020-04-04 17:21:24,17133,,5,,
2D9F,2020-04-04 17:21:34,17133,,5,,
2D9F,2020-04-04 17:22:15,17133,,5,,
2D9F,2020-04-04 17:22:20,17133,,5,,
2D9F,2020-04-04 17:22:25,17133,,5,,
2D9F,2020-04-04 17:22:35,17133,,5,,
2D9F,2020-04-04 17:22:40,17133,,5,,
2D9F,2020-04-04 17:22:45,17133,,5,,
2D9F,2020-04-04 17:22:50,17133,,5,,
2D9F,2020-04-04 17:22:55,17133,,5,,
2D9F,2020-04-04 17:23:00,17133,,5,,
2D9F,2020-04-04 17:23:10,17133,,5,,
2D9F,2020-04-04 17:23:15,17133,,5,,
2D9F,2020-04-04 17:23:20,17133,,5,,
2D9F,2020-04-04 17:23:25,17133,,5,,
2D9F,2020-04-04 17:23:30,17133,,5,,
2D9F,2020-04-04 17:23:40,17133,,5,,
2D9F,2020-04-04 17:23:50,17133,,5,,
2D9F,2020-04-04 17:23:55,17133,,5,,
2D9F,2020-04-04 17:24:00,17133,,5,,
2D9F,2020-04-04 17:24:21,17133,,5,,
2D9F,2020-04-04 17:27:27,17133,,5,,
2D9F,2020-04-04 17:27:52,17133,,5,,
2D9F,2020-04-04 17:28:28,17133,,5,,
2D9F,2020-04-04 17:28:33,17133,,5,,
2D9F,2020-04-04 17:28:38,17133,,5,,
2D9F,2020-04-04 17:29:13,17133,,5,,
2D9F,2020-04-04 17:29:28,17133,,5,,
2D9F,2020-04-04 17:29:33,17133,,5,,
2D9F,2020-04-04 17:29:38,17133,,5,,
2D9F,2020-04-04 17:29:48,17133,,5,,
2D9F,2020-04-04 17:30:09,17133,,5,,
2D9F,2020-04-04 17:30:24,17133,,5,,
2D9F,2020-04-04 17:30:29,17133,,5,,
2D9F,2020-04-04 17:30:34,17133,,5,,
2D9F,2020-04-04 17:30:39,17133,,5,,
2D9F,2020-04-04 17:30:49,17133,,5,,
2D9F,2020-04-04 17:31:09,17133,,5,,
2D9F,2020-04-04 17:31:19,17133,,5,,
2D9F,2020-04-04 01:08:17,17137,,5,,
2D9F,2020-04-04 01:08:22,17137,,5,,
2D9F,2020-04-04 01:08:37,17137,,5,,
2D9F,2020-04-04 01:08:53,17137,,5,,
2D9F,2020-04-04 01:08:58,17137,,5,,
2D9F,2020-04-04 01:09:03,17137,,5,,
2D9F,2020-04-04 01:09:08,17137,,5,,
2D9F,2020-04-04 01:09:13,17137,,5,,
2D9F,2020-04-04 01:09:18,17137,,5,,
2D9F,2020-04-04 01:09:28,17137,,5,,
2D9F,2020-04-04 01:09:38,17137,,5,,
2D9F,2020-04-04 01:09:43,17137,,5,,
2D9F,2020-04-04 01:09:48,17137,,5,,
2D9F,2020-04-04 01:10:13,17137,,5,,
2D9F,2020-04-04 01:10:18,17137,,5,,
2D9F,2020-04-04 01:10:38,17137,,5,,
2D9F,2020-04-04 01:10:54,17137,,5,,
2D9F,2020-04-04 01:11:04,17137,,5,,
2D9F,2020-04-04 01:11:14,17137,,5,,
2D9F,2020-04-04 01:11:19,17137,,5,,
2D9F,2020-04-04 01:11:24,17137,,5,,
2D9F,2020-04-04 01:11:29,17137,,5,,
2D9F,2020-04-04 01:11:39,17137,,5,,
2D9F,2020-04-04 01:11:49,17137,,5,,
2D9F,2020-04-04 01:11:59,17137,,5,,
2D9F,2020-04-04 01:12:09,17137,,5,,
2D9F,2020-04-04 01:12:29,17137,,5,,
2D9F,2020-04-04 01:12:34,17137,,5,,
2D9F,2020-04-04 01:12:39,17137,,5,,
2D9F,2020-04-04 01:14:30,17137,,5,,
2D9F,2020-04-04 01:14:35,17137,,5,,
2D9F,2020-04-04 01:14:41,17137,,5,,
2D9F,2020-04-04 01:14:46,17137,,5,,
2D9F,2020-04-04 01:14:51,17137,,5,,
2D9F,2020-04-04 01:14:56,17137,,5,,
2D9F,2020-04-04 01:15:01,17137,,5,,
2D9F,2020-04-04 01:15:06,17137,,5,,
2D9F,2020-04-04 01:15:11,17137,,5,,
2D9F,2020-04-04 01:15:16,17137,,5,,
2D9F,2020-04-04 01:15:21,17137,,5,,
2D9F,2020-04-04 01:15:26,17137,,5,,
2D9F,2020-04-04 01:15:31,17137,,5,,
2D9F,2020-04-04 01:15:36,17137,,5,,
2D9F,2020-04-04 01:15:41,17137,,5,,
2D9F,2020-04-04 01:16:31,17137,,5,,
2D9F,2020-04-04 01:26:47,17137,,5,,
2D9F,2020-04-04 01:26:52,17137,,5,,
2D9F,2020-04-04 01:26:57,17137,,5,,
2D9F,2020-04-04 01:27:02,17137,,5,,
2D9F,2020-04-04 01:27:07,17137,,5,,
2D9F,2020-04-04 01:27:12,17137,,5,,
2D9F,2020-04-04 01:27:17,17137,,5,,
2D9F,2020-04-04 01:27:22,17137,,5,,
2D9F,2020-04-04 01:27:27,17137,,5,,
2D9F,2020-04-04 01:27:32,17137,,5,,
2D9F,2020-04-04 01:27:37,17137,,5,,
2D9F,2020-04-04 01:27:42,17137,,5,,
2D9F,2020-04-04 01:27:47,17137,,5,,
2D9F,2020-04-04 01:27:52,17137,,5,,
2D9F,2020-04-04 01:28:02,17137,,5,,
2D9F,2020-04-04 01:28:22,17137,,5,,
2D9F,2020-04-04 01:28:27,17137,,5,,
2D9F,2020-04-04 01:28:43,17137,,5,,
2D9F,2020-04-04 01:28:48,17137,,5,,
2D9F,2020-04-04 01:28:58,17137,,5,,
2D9F,2020-04-04 02:49:22,17137,,5,,
2D9F,2020-04-04 02:49:42,17137,,5,,
2D9F,2020-04-04 02:50:03,17137,,5,,
2D9F,2020-04-04 02:50:23,17137,,5,,
2D9F,2020-04-04 02:51:23,17137,,5,,
2D9F,2020-04-04 02:51:33,17137,,5,,
2D9F,2020-04-04 02:51:48,17137,,5,,
2D9F,2020-04-04 02:52:04,17137,,5,,
2D9F,2020-04-04 02:52:19,17137,,5,,
2D9F,2020-04-04 02:52:24,17137,,5,,
2D9F,2020-04-04 02:52:29,17137,,5,,
2D9F,2020-04-04 02:52:39,17137,,5,,
2D9F,2020-04-04 02:52:44,17137,,5,,
2D9F,2020-04-04 02:52:54,17137,,5,,
2D9F,2020-04-04 02:53:04,17137,,5,,
2D9F,2020-04-04 02:53:09,17137,,5,,
2D9F,2020-04-04 02:53:14,17137,,5,,
2D9F,2020-04-04 02:53:24,17137,,5,,
2D9F,2020-04-04 02:53:29,17137,,5,,
2D9F,2020-04-04 02:53:34,17137,,5,,
2D9F,2020-04-04 02:53:39,17137,,5,,
2D9F,2020-04-04 02:53:44,17137,,5,,
2D9F,2020-04-04 02:53:49,17137,,5,,
2D9F,2020-04-04 02:53:59,17137,,5,,
2D9F,2020-04-04 02:54:05,17137,,5,,
2D9F,2020-04-04 02:54:10,17137,,5,,
2D9F,2020-04-04 02:54:15,17137,,5,,
2D9F,2020-04-04 02:54:20,17137,,5,,
2D9F,2020-04-04 02:54:25,17137,,5,,
2D9F,2020-04-04 02:54:30,17137,,5,,
2D9F,2020-04-04 02:54:35,17137,,5,,
2D9F,2020-04-04 02:54:40,17137,,5,,
2D9F,2020-04-04 02:54:45,17137,,5,,
2D9F,2020-04-04 02:54:50,17137,,5,,
2D9F,2020-04-04 02:54:55,17137,,5,,
2D9F,2020-04-04 02:55:05,17137,,5,,
2D9F,2020-04-04 02:55:10,17137,,5,,
2D9F,2020-04-04 02:55:15,17137,,5,,
2D9F,2020-04-04 02:55:20,17137,,5,,
2D9F,2020-04-04 02:55:30,17137,,5,,
2D9F,2020-04-04 02:55:35,17137,,5,,
